analysis,variant,split,metric,mean_delta_vs_m3_full,sign,sign_consistent,t_df4,p_two_tailed,p_holm,denominator_key,denominator_mean_variant,denominator_mean_m3_full,amb160_mean_delta,amb160_sign_consistent,seed19521006,seed19521007,seed19521008,seed19521009,seed19521010
revive,no_time,dev,impossible_transition_rate,-0.0096,-,no,-0.89,0.4235,1.0000,n_transitions,2023.9,2199.1,-0.0019,no,-0.0098,+0.0086,-0.0049,+0.0084,-0.0502
revive,no_state,dev,impossible_transition_rate,-0.0070,-,no,-0.84,0.4506,1.0000,n_transitions,2139.0,2199.1,-0.0067,YES,+0.0055,+0.0074,-0.0038,-0.0050,-0.0392
revive,no_rel,dev,impossible_transition_rate,-0.0092,-,no,-1.39,0.2364,1.0000,n_transitions,1853.6,2199.1,-0.0018,no,+0.0089,-0.0100,-0.0081,-0.0048,-0.0322
revive,no_src,dev,impossible_transition_rate,-0.0027,-,no,-0.29,0.7891,1.0000,n_transitions,2072.5,2199.1,-0.0095,no,-0.0068,+0.0197,+0.0152,-0.0088,-0.0327
revive,no_motion,dev,trajectory_consistency_rate,+0.0117,+,no,1.33,0.2549,1.0000,n_transitions,2037.1,2199.1,-0.0055,no,+0.0167,+0.0039,-0.0047,-0.0012,+0.0438
revive,no_time,dev,trajectory_consistency_rate,+0.0096,+,no,0.89,0.4235,1.0000,n_transitions,2023.9,2199.1,+0.0019,no,+0.0098,-0.0086,+0.0049,-0.0084,+0.0502
revive,no_state,dev,trajectory_consistency_rate,+0.0070,+,no,0.84,0.4506,1.0000,n_transitions,2139.0,2199.1,+0.0067,YES,-0.0055,-0.0074,+0.0038,+0.0050,+0.0392
revive,no_rel,dev,trajectory_consistency_rate,+0.0092,+,no,1.39,0.2364,1.0000,n_transitions,1853.6,2199.1,+0.0018,no,-0.0089,+0.0100,+0.0081,+0.0048,+0.0322
revive,no_src,dev,trajectory_consistency_rate,+0.0027,+,no,0.29,0.7891,1.0000,n_transitions,2072.5,2199.1,+0.0095,no,+0.0068,-0.0197,-0.0152,+0.0088,+0.0327
revive,no_motion,dev,dangling_precision,-0.1117,-,no,-1.58,0.1900,0.5699,n_pred_dangling,55.0,38.3,-0.0045,no,+0.0814,-0.1861,+0.0361,-0.2365,-0.2534
revive,no_time,dev,dangling_precision,-0.0936,-,no,-1.15,0.3141,0.5699,n_pred_dangling,56.7,38.3,+0.0258,no,+0.0357,+0.0379,-0.0712,-0.0652,-0.4053
revive,no_state,dev,dangling_precision,-0.0833,-,no,-2.22,0.0903,0.3783,n_pred_dangling,44.5,38.3,-0.0460,no,-0.1153,+0.0518,-0.1361,-0.0597,-0.1571
revive,no_rel,dev,dangling_precision,-0.2372,-,no,-2.38,0.0757,0.3783,n_pred_dangling,74.4,38.3,-0.0133,no,+0.0661,-0.1524,-0.5269,-0.2153,-0.3576
revive,no_src,dev,dangling_precision,-0.0841,-,no,-1.35,0.2487,0.5699,n_pred_dangling,51.6,38.3,-0.0401,no,+0.0838,-0.1383,+0.0312,-0.1389,-0.2584
revive,no_motion,dev,dangling_recall,+0.0267,+,no,1.80,0.1459,0.6790,n_gold_dangling,51.1,51.1,-0.0055,no,-0.0157,+0.0658,+0.0045,+0.0284,+0.0505
revive,no_time,dev,dangling_recall,+0.0322,+,no,0.80,0.4677,0.8344,n_gold_dangling,51.1,51.1,+0.0014,no,-0.0227,-0.0132,+0.0050,+0.0004,+0.1914
revive,no_state,dev,dangling_recall,+0.0125,+,no,1.11,0.3307,0.8344,n_gold_dangling,51.1,51.1,+0.0137,no,+0.0187,-0.0225,+0.0227,-0.0007,+0.0442
revive,no_rel,dev,dangling_recall,+0.0676,+,no,1.86,0.1358,0.6790,n_gold_dangling,51.1,51.1,+0.0109,no,-0.0268,+0.0518,+0.1846,+0.0228,+0.1055
revive,no_src,dev,dangling_recall,+0.0209,+,no,1.25,0.2781,0.8344,n_gold_dangling,51.1,51.1,+0.0119,no,-0.0125,+0.0414,-0.0076,+0.0073,+0.0758
revive,no_motion,test,precision,+0.0212,+,no,1.18,0.3026,1.0000,n_pred_matches,51.6,58.6,-0.0076,no,+0.0398,-0.0141,-0.0088,+0.0069,+0.0822
revive,no_time,test,precision,+0.0248,+,no,1.31,0.2589,1.0000,n_pred_matches,52.6,58.6,+0.0031,no,+0.0552,-0.0151,+0.0209,-0.0159,+0.0787
revive,no_state,test,precision,+0.0061,+,no,0.35,0.7414,1.0000,n_pred_matches,55.3,58.6,+0.0025,no,-0.0213,-0.0323,-0.0090,+0.0348,+0.0586
